P_t,P_x,T_t,T_p
        0.6222540140,146.728516,        0.3965544701,-143.981934
        1.0017935038,-22.811890,        0.7852970362,-113.449097
        1.4054734707,370.697021,        1.1900999546,-254.669189
        1.7800605297,-64.880371,        1.5731359720,-191.314697
        2.0795029402,435.272217,        1.8728195429,-277.008057
        2.4619494677,-68.267822,        2.2780410051,-359.313965
        2.8189094067,395.080566,        2.5677260160,-237.213135
        3.1824369431,-40.237427,        2.9892239571,-324.996948
        3.5347249508,398.849487,        3.2778149843,-238.616943
        3.8418519497,-35.537720,        3.6989369392,-309.310913
        4.2612709999,367.782593,        3.9830514193,-243.103027
        4.6514585018,-53.863525,        4.4412665367,-281.906128
        5.0080025196,387.451172,        4.7506014109,-226.684570
        5.1873304844,-145.706177,        5.1711289883,-398.910522
        5.3658535480,-45.547485,        5.1981344223,-253.906250
        5.7228540182,355.102539,        5.4799560308,-209.579468
        5.9226100445,-190.032959,        5.9013473988,-273.193359
        6.0961809158,-51.544189,        5.9334044456,-251.052856
        6.4754189253,365.554810,        6.1764029264,-187.088013
        6.6324329376,-124.298096,        6.6054179668,-344.085693
        6.7656224966,-13.931274,        6.6482205391,-194.931030
        7.1792839766,215.194702,        6.9702409506,-168.579102
        7.5323359966,27.221680,        7.4328914881,-49.133301
        8.5525434017,46.508789,        7.6486024857,-27.938843
        8.9799350500,69.931030,        8.7052040100,-26.824951
       30.3458659649,48.477173,        9.0841549635,-50.384521
,,,       30.5984154940,-59.295654
